cat,x,y
hw-1,69895.0,61474.0
hw-2,97263.0,113263.0
hw-3,52211.0,84211.0
hw-4,52632.0,95579.0
hw-5,66947.0,98947.0
hw-6,55158.0,91789.0
hw-7,34526.0,80000.0
hw-8,26947.0,72421.0
hw-9,30737.0,56421.0
hw-10,32421.0,66105.0
hw-11,72421.0,109895.0
hw-12,69053.0,110316.0
hw-13,77895.0,114947.0
hw-14,72421.0,117053.0
hw-15,101895.0,138526.0
hw-16,74947.0,68211.0
hw-17,63158.0,118737.0
hw-18,31579.0,44211.0
hw-19,58947.0,32000.0
hw-20,56000.0,40000.0
hw-21,89263.0,118737.0
hw-22,75789.0,82947.0
hw-23,65263.0,74526.0
hw-24,62316.0,84211.0
hw-25,61895.0,88421.0
hw-26,67368.0,91789.0
hw-27,53474.0,56842.0
hw-28,58947.0,69895.0
hw-29,49263.0,71579.0
hw-30,47579.0,66947.0
hw-31,59789.0,73263.0
hw-32,55579.0,75368.0
hw-33,95579.0,122105.0
hw-35,55579.0,148211.0
hw-36,74947.0,130526.0
hw-37,49263.0,150316.0
hw-38,45053.0,155789.0
hw-39,65684.0,144421.0
hw-40,74947.0,140632.0
hw-41,93053.0,134316.0
hw-42,53474.0,135158.0
hw-44,85895.0,143158.0
inj-1,49374.99817699126,75374.99859609125
inj-2,49374.99817699126,77874.9966910913
inj-3,54374.99912949123,75374.99859609125
inj-4,54374.99912949123,77874.9966910913
inj-5,44374.998415040056,75374.99859609125
inj-6,44374.998415040056,77874.9966910913
inj-7,54374.99912949123,82874.99764359127
inj-8,54374.99912949123,85374.99811968887
inj-9,59374.99770058888,82874.99764359127
inj-10,59374.99770058888,85374.99811968887
inj-11,49374.99817699126,82874.99764359127
inj-12,49374.99817699126,85374.99811968887
inj-13,39374.99865308885,72874.99752441447
inj-14,39374.99865308885,75374.99859609125
inj-15,44374.998415040056,82874.99764359127
inj-16,44374.998415040056,85374.99811968887
inj-17,44374.998415040056,67874.99776246327
inj-18,44374.998415040056,70374.99764359128
inj-19,49374.99817699126,67874.99776246327
inj-20,49374.99817699126,70374.99764359128
inj-21,64374.99865308885,87874.99621468893
inj-22,64374.99865308885,90374.99669109128
inj-23,59374.99770058888,90374.99669109128
inj-24,59374.99770058888,92874.99716718888
inj-25,54374.99912949123,90374.99669109128
inj-26,50624.998415040056,89124.99764359127
inj-27,49374.99817699126,90374.99669109128
inj-28,50624.998415040056,91624.9969291401
inj-29,39374.99865308885,65374.99788164007
inj-30,39374.99865308885,67874.99776246327
inj-31,39374.99865308885,70374.99764359128
inj-32,40624.99889144244,69124.99740523768
inj-33,43124.99817699126,69124.99740523768
inj-34,45624.99865308885,69124.99740523768
inj-35,48124.99912949123,69124.99740523768
inj-36,35624.999129491225,71624.99788164007
inj-37,35624.999129491225,74124.99776246327
inj-38,35624.999129491225,64124.99794107607
inj-39,35624.999129491225,66624.99811968885
inj-40,38124.99841504005,66624.99811968885
inj-41,38124.99841504005,69124.99740523768
inj-42,38124.99841504005,71624.99788164007
inj-43,36874.99877226564,72874.99752441447
inj-44,38124.99841504005,74124.99776246327
inj-45,46874.99770058888,67874.99776246327
inj-46,46874.99770058888,70374.99764359128
inj-47,45624.99865308885,71624.99788164007
inj-48,48124.99912949123,71624.99788164007
inj-49,46874.99770058888,72874.99752441447
inj-50,49374.99817699126,72874.99752441447
inj-51,43124.99817699126,71624.99788164007
inj-52,44374.998415040056,72874.99752441447
inj-53,41874.99853421685,70374.99764359128
inj-54,40624.99889144244,71624.99788164007
inj-55,40624.99889144244,74124.99776246327
inj-56,41874.99853421685,75374.99859609125
inj-57,40624.99889144244,76624.99764359128
inj-58,38124.99841504005,76624.99764359128
inj-59,39374.99865308885,77874.9966910913
inj-60,41874.99853421685,77874.9966910913
inj-61,40624.99889144244,79124.99811968885
inj-62,43124.99817699126,79124.99811968885
inj-63,41874.99853421685,80374.99716718889
inj-64,44374.998415040056,80374.99716718889
inj-65,41874.99853421685,72874.99752441447
inj-66,43124.99817699126,74124.99776246327
inj-67,45624.99865308885,74124.99776246327
inj-68,46874.99770058888,75374.99859609125
inj-69,43124.99817699126,76624.99764359128
inj-70,45624.99865308885,76624.99764359128
inj-71,48124.99912949123,74124.99776246327
inj-72,48124.99912949123,76624.99764359128
inj-73,46874.99770058888,77874.9966910913
inj-74,45624.99865308885,79124.99811968885
inj-75,40624.99889144244,81624.9974052377
inj-76,43124.99817699126,81624.9974052377
inj-77,45624.99865308885,81624.9974052377
inj-78,48124.99912949123,81624.9974052377
inj-79,46874.99770058888,80374.99716718889
inj-80,49374.99817699126,80374.99716718889
inj-81,48124.99912949123,79124.99811968885
inj-82,50624.998415040056,79124.99811968885
inj-83,50624.998415040056,76624.99764359128
inj-84,50624.998415040056,74124.99776246327
inj-85,41874.99853421685,82874.99764359127
inj-86,46874.99770058888,82874.99764359127
inj-87,51874.99865308885,82874.99764359127
inj-88,50624.998415040056,81624.9974052377
inj-89,53124.99770058888,81624.9974052377
inj-90,51874.99865308885,80374.99716718889
inj-91,51874.99865308885,77874.9966910913
inj-92,51874.99865308885,75374.99859609125
inj-93,51874.99865308885,72874.99752441447
inj-94,50624.998415040056,71624.99788164007
inj-p1,59874.99827208886,68374.99773868888
inj-p2,60374.99884358884,69624.99797673766
inj-p3,60124.998557991246,70874.99761981687
inj-p4,59874.99827208886,72124.99726259129
inj-p5,60124.998557991246,74624.99773868888
inj-p6,60624.99793894247,75874.9967861889
inj-p7,61374.99760549128,77124.99821509125
inj-p8,62374.99874849124,78374.99726259129
inj-p9,63624.99779599127,79624.99750064008
inj-p10,64874.99803404007,80874.99773868888
inj-p11,66124.9970815401,82124.99678618892
inj-p12,67124.99822454006,83374.99821509125
inj-p13,67624.99879604005,84624.99726259128
inj-p14,68124.9969861377,85874.99631009132
inj-p15,68374.99727204008,87124.99773868888
inj-p16,68624.99755763767,88374.99678618892
inj-p17,68624.99755763767,89624.9970242377
inj-p18,68124.9969861377,90874.99726259128
inj-p19,67374.99851013765,93124.99745309127
inj-p20,67374.99851013765,94374.99769114007
inj-p21,31374.999034088836,75124.99831018885
inj-p22,31874.99901031443,76374.99735768889
inj-p23,32624.99897465283,77624.99759573767
inj-p24,33624.99892710403,78874.99783409126
inj-p25,35624.999129491225,81374.99831018886
inj-p26,36624.99908163763,82624.99735768889
inj-p27,37374.99874849124,83874.99640518893
inj-p28,38124.99841504005,85124.99783409126
inj-p29,38874.99867686325,86374.99688159129
inj-p30,39874.99862931444,87624.9971196401
inj-p31,46624.99860554005,94124.99621468892
inj-p32,47874.99884358884,94374.99769114007
inj-p33,49124.99789108887,94624.99797673768
inj-p34,50374.99931999123,94874.99588123774
inj-p35,51374.99808158886,95374.99645273772
inj-p36,53874.998557991246,95874.9970242377
inj-p37,55124.99760549128,95874.9970242377
inj-p38,56374.99903408883,95624.99673864013
inj-p39,57624.99808158886,95624.99673864013
inj-p40,58874.99712908889,95874.9970242377
inj-p41,60124.998557991246,96374.99759573767
inj-p42,60874.9970339913,97124.99607173774
inj-p43,61874.99817699126,97624.99664323773
inj-p44,63124.99722449129,98124.9972147377
inj-p45,64374.99865308885,98124.9972147377
inj-p46,65374.99860554005,97874.9969291401
inj-p47,66124.9970815401,97374.99635764012
inj-p48,66874.99793863767,96874.99816723766
inj-p49,67374.99851013765,96124.9973101401
inj-p50,67374.99851013765,95374.99645273772
inj-p51,45374.99836749126,93374.99773868888
inj-p52,44124.99812944247,92124.99631009132
inj-p53,42874.99848636325,90874.99726259128
inj-p54,41874.99853421685,89874.99611959132
inj-p55,40874.99858176565,88874.99735768889
inj-p56,30874.99905786323,73874.99807214006
inj-p57,30624.999069750436,72624.99783409126
inj-p58,30624.999069750436,71124.99731014008
inj-p59,30624.999069750436,69624.99797673766
inj-p60,30624.999069750436,68124.99745309129
