cat,date,fcst
hw-3,2048-02-01,557.8269
hw-3,2048-03-01,552.21423
hw-3,2048-04-01,552.7096
hw-3,2048-05-01,553.572
hw-3,2048-06-01,555.15717
hw-3,2048-07-01,558.9118
hw-3,2048-08-01,564.5707
hw-3,2048-09-01,561.8401
hw-3,2048-10-01,560.0051
hw-3,2048-11-01,555.90454
hw-3,2048-12-01,563.8842
hw-3,2049-01-01,560.99976
hw-3,2049-02-01,558.15137
hw-3,2049-03-01,558.0654
hw-3,2049-04-01,563.8864
hw-3,2049-05-01,576.7337
hw-3,2049-06-01,575.57056
hw-3,2049-07-01,584.7576
hw-3,2049-08-01,565.3788
hw-3,2049-09-01,571.7697
hw-3,2049-10-01,575.30725
hw-3,2049-11-01,541.6252
hw-3,2049-12-01,573.8306
hw-3,2050-01-01,572.60333
hw-4,2048-02-01,0.019292245
hw-4,2048-03-01,0.019292245
hw-4,2048-04-01,0.019292245
hw-4,2048-05-01,0.019292245
hw-4,2048-06-01,0.019292245
hw-4,2048-07-01,0.019292245
hw-4,2048-08-01,0.019292245
hw-4,2048-09-01,0.019292245
hw-4,2048-10-01,0.019292245
hw-4,2048-11-01,0.019292245
hw-4,2048-12-01,0.019292245
hw-4,2049-01-01,0.019292245
hw-4,2049-02-01,0.019292245
hw-4,2049-03-01,0.019292245
hw-4,2049-04-01,0.019292245
hw-4,2049-05-01,0.019292245
hw-4,2049-06-01,0.019292245
hw-4,2049-07-01,0.019292245
hw-4,2049-08-01,0.019292245
hw-4,2049-09-01,0.019292245
hw-4,2049-10-01,0.019292245
hw-4,2049-11-01,0.019292245
hw-4,2049-12-01,0.019292245
hw-4,2050-01-01,0.019292245
hw-5,2048-02-01,0.019292245
hw-5,2048-03-01,0.019292245
hw-5,2048-04-01,0.019292245
hw-5,2048-05-01,0.019292245
hw-5,2048-06-01,0.019292245
hw-5,2048-07-01,0.019292245
hw-5,2048-08-01,0.019292245
hw-5,2048-09-01,0.019292245
hw-5,2048-10-01,0.019292245
hw-5,2048-11-01,0.019292245
hw-5,2048-12-01,0.019292245
hw-5,2049-01-01,0.019292245
hw-5,2049-02-01,0.019292245
hw-5,2049-03-01,0.019292245
hw-5,2049-04-01,0.019292245
hw-5,2049-05-01,0.019292245
hw-5,2049-06-01,0.019292245
hw-5,2049-07-01,0.019292245
hw-5,2049-08-01,0.019292245
hw-5,2049-09-01,0.019292245
hw-5,2049-10-01,0.019292245
hw-5,2049-11-01,0.019292245
hw-5,2049-12-01,0.019292245
hw-5,2050-01-01,0.019292245
hw-6,2048-02-01,1046.962
hw-6,2048-03-01,1045.2311
hw-6,2048-04-01,1047.0753
hw-6,2048-05-01,1044.9241
hw-6,2048-06-01,1050.981
hw-6,2048-07-01,1049.8296
hw-6,2048-08-01,1063.0145
hw-6,2048-09-01,1075.3464
hw-6,2048-10-01,1083.8242
hw-6,2048-11-01,1085.2068
hw-6,2048-12-01,1093.0002
hw-6,2049-01-01,1090.6053
hw-6,2049-02-01,1093.0726
hw-6,2049-03-01,1100.987
hw-6,2049-04-01,1097.2456
hw-6,2049-05-01,1113.4836
hw-6,2049-06-01,1095.5225
hw-6,2049-07-01,1099.3738
hw-6,2049-08-01,1093.9188
hw-6,2049-09-01,1094.995
hw-6,2049-10-01,1103.7968
hw-6,2049-11-01,1139.8304
hw-6,2049-12-01,1161.6534
hw-6,2050-01-01,1152.8019
hw-7,2048-02-01,0.019292245
hw-7,2048-03-01,0.019292245
hw-7,2048-04-01,0.019292245
hw-7,2048-05-01,0.019292245
hw-7,2048-06-01,0.019292245
hw-7,2048-07-01,0.019292245
hw-7,2048-08-01,0.019292245
hw-7,2048-09-01,0.019292245
hw-7,2048-10-01,0.019292245
hw-7,2048-11-01,0.019292245
hw-7,2048-12-01,0.019292245
hw-7,2049-01-01,0.019292245
hw-7,2049-02-01,0.019292245
hw-7,2049-03-01,0.019292245
hw-7,2049-04-01,0.019292245
hw-7,2049-05-01,0.019292245
hw-7,2049-06-01,0.019292245
hw-7,2049-07-01,0.019292245
hw-7,2049-08-01,0.019292245
hw-7,2049-09-01,0.019292245
hw-7,2049-10-01,0.019292245
hw-7,2049-11-01,0.019292245
hw-7,2049-12-01,0.019292245
hw-7,2050-01-01,0.019292245
hw-8,2048-02-01,0.019292245
hw-8,2048-03-01,0.019292245
hw-8,2048-04-01,0.019292245
hw-8,2048-05-01,0.019292245
hw-8,2048-06-01,0.019292245
hw-8,2048-07-01,0.019292245
hw-8,2048-08-01,0.019292245
hw-8,2048-09-01,0.019292245
hw-8,2048-10-01,0.019292245
hw-8,2048-11-01,0.019292245
hw-8,2048-12-01,0.019292245
hw-8,2049-01-01,0.019292245
hw-8,2049-02-01,0.019292245
hw-8,2049-03-01,0.019292245
hw-8,2049-04-01,0.019292245
hw-8,2049-05-01,0.019292245
hw-8,2049-06-01,0.019292245
hw-8,2049-07-01,0.019292245
hw-8,2049-08-01,0.019292245
hw-8,2049-09-01,0.019292245
hw-8,2049-10-01,0.019292245
hw-8,2049-11-01,0.019292245
hw-8,2049-12-01,0.019292245
hw-8,2050-01-01,0.019292245
hw-9,2048-02-01,535.276
hw-9,2048-03-01,531.71326
hw-9,2048-04-01,526.4972
hw-9,2048-05-01,523.8354
hw-9,2048-06-01,519.1319
hw-9,2048-07-01,515.7337
hw-9,2048-08-01,513.345
hw-9,2048-09-01,512.28357
hw-9,2048-10-01,508.28098
hw-9,2048-11-01,503.58954
hw-9,2048-12-01,496.33853
hw-9,2049-01-01,494.26862
hw-9,2049-02-01,475.24252
hw-9,2049-03-01,416.86554
hw-9,2049-04-01,361.0553
hw-9,2049-05-01,311.83804
hw-9,2049-06-01,296.34274
hw-9,2049-07-01,304.47308
hw-9,2049-08-01,295.01605
hw-9,2049-09-01,269.63074
hw-9,2049-10-01,275.55402
hw-9,2049-11-01,281.31683
hw-9,2049-12-01,278.98315
hw-9,2050-01-01,283.06284
hw-10,2048-02-01,92.31033
hw-10,2048-03-01,92.200096
hw-10,2048-04-01,91.95
hw-10,2048-05-01,91.76126
hw-10,2048-06-01,91.37368
hw-10,2048-07-01,91.25311
hw-10,2048-08-01,90.62264
hw-10,2048-09-01,90.233
hw-10,2048-10-01,90.07165
hw-10,2048-11-01,89.1369
hw-10,2048-12-01,89.313866
hw-10,2049-01-01,82.04595
hw-10,2049-02-01,78.561646
hw-10,2049-03-01,76.32402
hw-10,2049-04-01,71.864105
hw-10,2049-05-01,71.41737
hw-10,2049-06-01,70.72448
hw-10,2049-07-01,71.32606
hw-10,2049-08-01,73.726776
hw-10,2049-09-01,74.43237
hw-10,2049-10-01,74.589676
hw-10,2049-11-01,74.7569
hw-10,2049-12-01,74.63706
hw-10,2050-01-01,75.200035
hw-24,2048-02-01,687.78
hw-24,2048-03-01,684.10815
hw-24,2048-04-01,682.7386
hw-24,2048-05-01,682.0638
hw-24,2048-06-01,699.23157
hw-24,2048-07-01,690.15875
hw-24,2048-08-01,670.40186
hw-24,2048-09-01,665.29407
hw-24,2048-10-01,666.76666
hw-24,2048-11-01,659.88196
hw-24,2048-12-01,657.7778
hw-24,2049-01-01,647.78394
hw-24,2049-02-01,627.59845
hw-24,2049-03-01,609.3284
hw-24,2049-04-01,608.7556
hw-24,2049-05-01,608.5927
hw-24,2049-06-01,603.40216
hw-24,2049-07-01,582.6346
hw-24,2049-08-01,608.5057
hw-24,2049-09-01,598.535
hw-24,2049-10-01,584.0041
hw-24,2049-11-01,584.13965
hw-24,2049-12-01,638.57336
hw-24,2050-01-01,641.7262
hw-25,2048-02-01,377.31735
hw-25,2048-03-01,377.4242
hw-25,2048-04-01,377.55994
hw-25,2048-05-01,378.75095
hw-25,2048-06-01,379.27707
hw-25,2048-07-01,380.7289
hw-25,2048-08-01,380.98654
hw-25,2048-09-01,380.74893
hw-25,2048-10-01,379.32758
hw-25,2048-11-01,381.864
hw-25,2048-12-01,388.61957
hw-25,2049-01-01,392.44717
hw-25,2049-02-01,394.61697
hw-25,2049-03-01,395.7523
hw-25,2049-04-01,396.9406
hw-25,2049-05-01,397.7698
hw-25,2049-06-01,398.94687
hw-25,2049-07-01,399.8726
hw-25,2049-08-01,401.39078
hw-25,2049-09-01,404.52646
hw-25,2049-10-01,405.1819
hw-25,2049-11-01,405.61383
hw-25,2049-12-01,404.00507
hw-25,2050-01-01,405.6789
hw-26,2048-02-01,6.744655
hw-26,2048-03-01,6.736378
hw-26,2048-04-01,6.7330613
hw-26,2048-05-01,6.7380733
hw-26,2048-06-01,6.8547645
hw-26,2048-07-01,6.8547645
hw-26,2048-08-01,6.854611
hw-26,2048-09-01,6.854611
hw-26,2048-10-01,6.854611
hw-26,2048-11-01,6.863576
hw-26,2048-12-01,6.877065
hw-26,2049-01-01,6.8831015
hw-26,2049-02-01,6.8918705
hw-26,2049-03-01,6.896219
hw-26,2049-04-01,6.8807855
hw-26,2049-05-01,6.9675517
hw-26,2049-06-01,6.88997
hw-26,2049-07-01,6.802242
hw-26,2049-08-01,6.6519575
hw-26,2049-09-01,6.2763276
hw-26,2049-10-01,6.244855
hw-26,2049-11-01,6.2422266
hw-26,2049-12-01,6.2206626
hw-26,2050-01-01,6.4003854
hw-27,2048-02-01,0.019292245
hw-27,2048-03-01,0.019292245
hw-27,2048-04-01,0.019292245
hw-27,2048-05-01,0.019292245
hw-27,2048-06-01,0.019292245
hw-27,2048-07-01,0.019292245
hw-27,2048-08-01,0.019292245
hw-27,2048-09-01,0.019292245
hw-27,2048-10-01,0.019292245
hw-27,2048-11-01,0.019292245
hw-27,2048-12-01,0.019292245
hw-27,2049-01-01,0.019292245
hw-27,2049-02-01,0.019292245
hw-27,2049-03-01,0.019292245
hw-27,2049-04-01,0.019292245
hw-27,2049-05-01,0.019292245
hw-27,2049-06-01,0.019292245
hw-27,2049-07-01,0.019292245
hw-27,2049-08-01,0.019292245
hw-27,2049-09-01,0.019292245
hw-27,2049-10-01,0.019292245
hw-27,2049-11-01,0.019292245
hw-27,2049-12-01,0.019292245
hw-27,2050-01-01,0.019292245
hw-28,2048-02-01,16.915478
hw-28,2048-03-01,16.876455
hw-28,2048-04-01,16.859735
hw-28,2048-05-01,16.766579
hw-28,2048-06-01,17.018002
hw-28,2048-07-01,17.003674
hw-28,2048-08-01,17.00139
hw-28,2048-09-01,17.305498
hw-28,2048-10-01,17.295547
hw-28,2048-11-01,17.30132
hw-28,2048-12-01,17.250906
hw-28,2049-01-01,17.208488
hw-28,2049-02-01,17.266613
hw-28,2049-03-01,17.249113
hw-28,2049-04-01,18.479559
hw-28,2049-05-01,18.34584
hw-28,2049-06-01,18.376242
hw-28,2049-07-01,18.455471
hw-28,2049-08-01,18.451725
hw-28,2049-09-01,18.454916
hw-28,2049-10-01,17.916338
hw-28,2049-11-01,17.960283
hw-28,2049-12-01,22.179276
hw-28,2050-01-01,16.808668
hw-29,2048-02-01,3478.2043
hw-29,2048-03-01,3463.5247
hw-29,2048-04-01,3459.2812
hw-29,2048-05-01,3470.2583
hw-29,2048-06-01,3455.2607
hw-29,2048-07-01,3472.489
hw-29,2048-08-01,3461.9497
hw-29,2048-09-01,3475.6514
hw-29,2048-10-01,3475.5342
hw-29,2048-11-01,3446.454
hw-29,2048-12-01,3474.7778
hw-29,2049-01-01,3476.196
hw-29,2049-02-01,3477.593
hw-29,2049-03-01,3482.5037
hw-29,2049-04-01,3469.8674
hw-29,2049-05-01,3452.1497
hw-29,2049-06-01,3501.0767
hw-29,2049-07-01,3529.2246
hw-29,2049-08-01,3516.4072
hw-29,2049-09-01,3491.273
hw-29,2049-10-01,3483.22
hw-29,2049-11-01,3502.4229
hw-29,2049-12-01,3484.1172
hw-29,2050-01-01,3494.376
hw-30,2048-02-01,1953.2465
hw-30,2048-03-01,1959.418
hw-30,2048-04-01,1989.2235
hw-30,2048-05-01,2003.1782
hw-30,2048-06-01,2014.4379
hw-30,2048-07-01,2031.3236
hw-30,2048-08-01,2045.8032
hw-30,2048-09-01,2042.7075
hw-30,2048-10-01,2056.3728
hw-30,2048-11-01,2052.83
hw-30,2048-12-01,2080.2383
hw-30,2049-01-01,2084.0215
hw-30,2049-02-01,2071.092
hw-30,2049-03-01,2053.4915
hw-30,2049-04-01,2090.3203
hw-30,2049-05-01,2076.9138
hw-30,2049-06-01,2107.778
hw-30,2049-07-01,2092.9302
hw-30,2049-08-01,2112.6277
hw-30,2049-09-01,2226.8977
hw-30,2049-10-01,2232.4973
hw-30,2049-11-01,2238.2402
hw-30,2049-12-01,2224.1614
hw-30,2050-01-01,2210.2356
hw-31,2048-02-01,0.019292245
hw-31,2048-03-01,0.019292245
hw-31,2048-04-01,0.019292245
hw-31,2048-05-01,0.019292245
hw-31,2048-06-01,0.019292245
hw-31,2048-07-01,0.019292245
hw-31,2048-08-01,0.019292245
hw-31,2048-09-01,0.019292245
hw-31,2048-10-01,0.019292245
hw-31,2048-11-01,0.019292245
hw-31,2048-12-01,0.019292245
hw-31,2049-01-01,0.019292245
hw-31,2049-02-01,0.019292245
hw-31,2049-03-01,0.019292245
hw-31,2049-04-01,0.019292245
hw-31,2049-05-01,0.019292245
hw-31,2049-06-01,0.019292245
hw-31,2049-07-01,0.019292245
hw-31,2049-08-01,0.019292245
hw-31,2049-09-01,0.019292245
hw-31,2049-10-01,0.019292245
hw-31,2049-11-01,0.019292245
hw-31,2049-12-01,0.019292245
hw-31,2050-01-01,0.019292245
hw-32,2048-02-01,2167.8777
hw-32,2048-03-01,2143.8752
hw-32,2048-04-01,2140.0132
hw-32,2048-05-01,2137.5989
hw-32,2048-06-01,2142.921
hw-32,2048-07-01,2152.9287
hw-32,2048-08-01,2148.8247
hw-32,2048-09-01,2141.3413
hw-32,2048-10-01,2143.509
hw-32,2048-11-01,2241.2888
hw-32,2048-12-01,2251.2292
hw-32,2049-01-01,2274.566
hw-32,2049-02-01,2284.3586
hw-32,2049-03-01,2279.5986
hw-32,2049-04-01,2290.2437
hw-32,2049-05-01,2279.3767
hw-32,2049-06-01,2230.856
hw-32,2049-07-01,2247.6553
hw-32,2049-08-01,2164.646
hw-32,2049-09-01,2159.4116
hw-32,2049-10-01,2142.5305
hw-32,2049-11-01,2155.3486
hw-32,2049-12-01,2152.1765
hw-32,2050-01-01,2152.6296
well-1,2048-02-01,1714.736
well-1,2048-03-01,1702.7445
well-1,2048-04-01,1696.9839
well-1,2048-05-01,1701.9843
well-1,2048-06-01,1701.0806
well-1,2048-07-01,1674.691
well-1,2048-08-01,1655.3193
well-1,2048-09-01,1639.9255
well-1,2048-10-01,1625.6426
well-1,2048-11-01,1616.6938
well-1,2048-12-01,1650.0408
well-1,2049-01-01,1644.1863
well-1,2049-02-01,1629.268
well-1,2049-03-01,1628.7646
well-1,2049-04-01,1641.1298
well-1,2049-05-01,1642.4612
well-1,2049-06-01,1629.1622
well-1,2049-07-01,1624.0734
well-1,2049-08-01,1626.2751
well-1,2049-09-01,1625.5776
well-1,2049-10-01,1633.9053
well-1,2049-11-01,1626.1602
well-1,2049-12-01,1623.6498
well-1,2050-01-01,1621.1222
well-10,2048-02-01,1091.049
well-10,2048-03-01,1088.364
well-10,2048-04-01,1091.059
well-10,2048-05-01,1097.8264
well-10,2048-06-01,1097.8829
well-10,2048-07-01,1104.9204
